path_index,dx_pixels,dy_pixels
0,0,0
1,1,0
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,-2
8,8,-2
9,9,-2
10,10,-2
11,11,-3
12,12,-3
13,13,-3
14,14,-3
15,15,-4
16,16,-4
17,17,-4
18,18,-5
19,19,-5
20,20,-5
21,21,-6
22,22,-7
23,23,-7
24,24,-8
25,25,-8
26,26,-9
27,27,-9
28,28,-10
29,29,-11
30,30,-12
31,31,-13
32,32,-13
33,33,-14
34,34,-15
35,35,-16
36,36,-17
37,36,-18
38,37,-19
39,38,-20
40,39,-21
41,39,-22
42,40,-23
43,40,-24
44,41,-25
45,41,-26
46,42,-27
47,42,-28
48,43,-29
49,43,-30
50,44,-31
51,44,-32
52,45,-33
53,45,-34
54,45,-35
55,46,-36
56,46,-37
57,46,-38
58,46,-39
59,47,-40
60,47,-41
61,47,-42
62,47,-43
63,48,-44
64,48,-45
65,48,-46
66,48,-47
67,48,-48
68,48,-49
69,49,-50
70,49,-51
71,49,-52
72,49,-53
73,49,-54
74,49,-55
75,49,-56
76,49,-57
77,50,-58
78,50,-59
79,50,-60
80,50,-61
81,50,-62
82,50,-63
83,50,-64
84,50,-65
85,50,-66
86,50,-67
87,50,-68
88,50,-69
89,50,-70
90,50,-71
91,50,-72
92,50,-73
93,50,-74
94,50,-75
95,50,-76
96,50,-77
97,50,-78
98,50,-79
99,50,-80
100,50,-81
101,49,-82
102,49,-83
103,49,-84
104,49,-85
105,49,-86
106,48,-87
107,48,-88
108,48,-89
109,48,-90
110,47,-91
111,47,-92
112,47,-93
113,46,-94
114,46,-95
115,46,-96
116,45,-97
117,45,-98
118,45,-99
119,44,-100
120,43,-101
121,42,-102
122,41,-103
123,41,-104
124,40,-105
125,39,-106
126,39,-107
127,38,-108
128,37,-109
129,36,-110
130,35,-111
131,34,-112
132,33,-113
133,32,-114
134,31,-115
135,30,-116
136,29,-117
137,28,-117
138,27,-118
139,26,-118
140,25,-119
141,24,-119
142,23,-120
143,22,-120
144,21,-121
145,20,-121
146,19,-122
147,18,-122
148,17,-122
149,16,-123
150,15,-123
151,14,-123
152,13,-123
153,12,-124
154,11,-124
155,10,-124
156,9,-124
157,8,-124
158,7,-125
159,6,-125
160,5,-125
161,4,-125
162,3,-125
163,2,-125
164,1,-125
165,0,-125
166,-1,-125
167,-2,-125
168,-3,-125
169,-4,-125
170,-5,-125
171,-6,-125
172,-7,-125
173,-8,-125
174,-9,-124
175,-10,-124
176,-11,-124
177,-12,-124
178,-13,-124
179,-14,-123
180,-15,-123
181,-16,-123
182,-17,-123
183,-18,-122
184,-19,-122
185,-20,-122
186,-21,-121
187,-22,-121
188,-23,-120
189,-24,-120
190,-25,-119
191,-26,-119
192,-27,-118
193,-28,-118
194,-29,-117
195,-30,-117
196,-31,-116
197,-32,-115
198,-33,-114
199,-34,-113
200,-35,-112
201,-36,-111
202,-37,-110
203,-38,-109
204,-39,-108
205,-39,-107
206,-40,-106
207,-41,-105
208,-41,-104
209,-42,-103
210,-43,-102
211,-44,-101
212,-45,-100
213,-45,-99
214,-45,-98
215,-46,-97
216,-46,-96
217,-46,-95
218,-47,-94
219,-47,-93
220,-47,-92
221,-48,-91
222,-48,-90
223,-48,-89
224,-48,-88
225,-49,-87
226,-49,-86
227,-49,-85
228,-49,-84
229,-49,-83
230,-50,-82
231,-50,-81
232,-50,-80
233,-50,-79
234,-50,-78
235,-50,-77
236,-50,-76
237,-50,-75
238,-50,-74
239,-50,-73
240,-50,-72
241,-50,-71
242,-50,-70
243,-50,-69
244,-50,-68
245,-50,-67
246,-50,-66
247,-50,-65
248,-50,-64
249,-50,-63
250,-50,-62
251,-50,-61
252,-50,-60
253,-50,-59
254,-50,-58
255,-50,-57
256,-50,-56
257,-50,-55
258,-50,-54
259,-50,-53
260,-50,-52
261,-50,-51
262,-50,-50
263,-50,-49
264,-50,-48
265,-50,-47
266,-50,-46
267,-50,-45
268,-50,-44
269,-50,-43
270,-50,-42
271,-50,-41
272,-50,-40
273,-50,-39
274,-50,-38
275,-50,-37
276,-50,-36
277,-50,-35
278,-50,-34
279,-50,-33
280,-50,-32
281,-50,-31
282,-50,-30
283,-50,-29
284,-50,-28
285,-50,-27
286,-50,-26
287,-50,-25
288,-50,-24
289,-50,-23
290,-50,-22
291,-50,-21
292,-50,-20
293,-50,-19
294,-50,-18
295,-50,-17
296,-50,-16
297,-50,-15
298,-50,-14
299,-50,-13
300,-50,-12
301,-50,-11
302,-50,-10
303,-50,-9
304,-50,-8
305,-50,-7
306,-50,-6
307,-50,-5
308,-50,-4
309,-50,-3
310,-50,-2
311,-50,-1
312,-50,0
313,-50,0
314,-50,1
315,-50,2
316,-50,3
317,-50,4
318,-50,5
319,-50,6
320,-50,7
321,-50,8
322,-50,9
323,-50,10
324,-50,11
325,-50,12
326,-50,13
327,-50,14
328,-50,15
329,-50,16
330,-50,17
331,-50,18
332,-50,19
333,-50,20
334,-50,21
335,-50,22
336,-50,23
337,-50,24
338,-50,25
339,-50,26
340,-50,27
341,-50,28
342,-50,29
343,-50,30
344,-50,31
345,-50,32
346,-50,33
347,-50,34
348,-50,35
349,-50,36
350,-50,37
351,-50,38
352,-50,39
353,-50,40
354,-50,41
355,-50,42
356,-50,43
357,-50,44
358,-50,45
359,-50,46
360,-50,47
361,-50,48
362,-50,49
363,-50,50
364,-50,51
365,-50,52
366,-50,53
367,-50,54
368,-50,55
369,-50,56
370,-50,57
371,-50,58
372,-50,59
373,-50,60
374,-50,61
375,-50,62
376,-50,63
377,-50,64
378,-50,65
379,-50,66
380,-50,67
381,-50,68
382,-50,69
383,-50,70
384,-50,71
385,-50,72
386,-50,73
387,-50,74
388,-50,75
389,-50,76
390,-50,77
391,-50,78
392,-50,79
393,-50,80
394,-50,81
395,-50,82
396,-50,83
397,-50,84
398,-50,85
399,-50,86
400,-50,87
401,-50,88
402,-50,89
403,-50,90
404,-50,91
405,-50,92
406,-50,93
407,-50,94
408,-50,95
409,-50,96
410,-50,97
411,-50,98
412,-50,99
413,-50,100
414,-50,101
415,-50,102
416,-50,103
