index,rom_offset,type_id,stored_x,stored_y,world_x,world_y,flags,parameter,aux0,aux1
1,705AE,28,848,720,592,464,00,0A,6A,09
2,705B7,28,3920,768,3664,512,00,0A,6A,0D
3,705C0,28,1296,640,1040,384,00,84,6A,00
4,705C9,28,1392,576,1136,320,00,84,6A,00
5,705D2,28,1488,512,1232,256,00,84,6A,00
6,705DB,28,1584,464,1328,208,00,84,6A,00
7,705E4,26,944,1120,688,864,00,00,72,72
8,705ED,26,3824,1024,3568,768,00,00,72,72
9,705F6,10,912,1102,656,846,00,06,00,00
10,705FF,10,1968,750,1712,494,00,06,00,00
11,70608,10,592,526,336,270,00,04,00,00
12,70611,10,1728,366,1472,110,00,04,00,00
13,7061A,10,2944,942,2688,686,00,02,00,00
14,70623,09,3380,804,3124,548,00,00,00,00
15,7062C,09,3416,778,3160,522,00,00,00,00
16,70635,09,3464,768,3208,512,00,00,00,00
17,7063E,09,3136,640,2880,384,00,00,00,00
18,70647,09,3088,704,2832,448,00,00,00,00
19,70650,09,3096,664,2840,408,00,00,00,00
20,70659,09,3184,704,2928,448,00,00,00,00
21,70662,09,3176,664,2920,408,00,00,00,00
22,7066B,26,1552,864,1296,608,00,8A,72,72
23,70674,26,2168,1120,1912,864,00,01,72,72
24,7067D,27,3760,480,3504,224,10,00,AA,AA
25,70686,27,2544,1024,2288,768,10,00,AA,AA
26,7068F,27,2496,368,2240,112,10,00,AA,AA
27,70698,21,1056,862,800,606,00,08,86,98
28,706A1,21,1504,1118,1248,862,00,06,86,98
29,706AA,21,2304,574,2048,318,00,06,86,98
30,706B3,21,3408,1150,3152,894,00,03,86,98
31,706BC,21,3552,542,3296,286,00,04,86,98
32,706C5,21,2656,510,2400,254,00,02,86,98
33,706CE,1B,1600,1120,1344,864,00,00,00,00
34,706D7,1B,2192,1120,1936,864,00,00,00,00
35,706E0,1B,2720,1120,2464,864,00,00,00,00
36,706E9,1B,3168,1120,2912,864,00,00,00,00
37,706F2,09,3623,1086,3367,830,00,00,00,00
38,706FB,09,3650,1054,3394,798,00,00,00,00
39,70704,09,3678,1030,3422,774,00,00,00,00
40,7070D,09,1072,1100,816,844,00,01,00,00
41,70716,09,1120,1100,864,844,00,01,00,00
42,7071F,09,1200,1100,944,844,00,01,00,00
43,70728,09,1296,1100,1040,844,00,01,00,00
44,70731,09,1984,844,1728,588,00,01,00,00
45,7073A,09,2016,844,1760,588,00,01,00,00
46,70743,09,2112,844,1856,588,00,01,00,00
47,7074C,09,2224,844,1968,588,00,01,00,00
48,70755,09,2304,844,2048,588,00,01,00,00
49,7075E,09,2336,844,2080,588,00,01,00,00
50,70767,09,2656,940,2400,684,00,01,00,00
51,70770,09,2768,940,2512,684,00,01,00,00
52,70779,09,2896,940,2640,684,00,01,00,00
53,70782,18,4216,814,3960,558,00,00,00,00
