path_index,dx_pixels,dy_pixels
0,0,0
1,-1,0
2,-2,-1
3,-3,-1
4,-4,-1
5,-5,-1
6,-6,-1
7,-7,-2
8,-8,-2
9,-9,-2
10,-10,-2
11,-11,-3
12,-12,-3
13,-13,-3
14,-14,-3
15,-15,-4
16,-16,-4
17,-17,-4
18,-18,-5
19,-19,-5
20,-20,-5
21,-21,-6
22,-22,-7
23,-23,-7
24,-24,-8
25,-25,-8
26,-26,-9
27,-27,-9
28,-28,-10
29,-29,-11
30,-30,-12
31,-31,-13
32,-32,-13
33,-33,-14
34,-34,-15
35,-35,-16
36,-36,-17
37,-36,-18
38,-37,-19
39,-38,-20
40,-39,-21
41,-39,-22
42,-40,-23
43,-40,-24
44,-41,-25
45,-41,-26
46,-42,-27
47,-42,-28
48,-43,-29
49,-43,-30
50,-44,-31
51,-44,-32
52,-45,-33
53,-45,-34
54,-45,-35
55,-46,-36
56,-46,-37
57,-46,-38
58,-46,-39
59,-47,-40
60,-47,-41
61,-47,-42
62,-47,-43
63,-48,-44
64,-48,-45
65,-48,-46
66,-48,-47
67,-48,-48
68,-48,-49
69,-49,-50
70,-49,-51
71,-49,-52
72,-49,-53
73,-49,-54
74,-49,-55
75,-49,-56
76,-49,-57
77,-50,-58
78,-50,-59
79,-50,-60
80,-50,-61
81,-50,-62
82,-50,-63
83,-50,-64
84,-50,-65
85,-50,-66
86,-50,-67
87,-50,-68
88,-50,-69
89,-50,-70
90,-50,-71
91,-50,-72
92,-50,-73
93,-50,-74
94,-50,-75
95,-50,-76
96,-50,-77
97,-50,-78
98,-50,-79
99,-50,-80
100,-50,-81
101,-49,-82
102,-49,-83
103,-49,-84
104,-49,-85
105,-49,-86
106,-48,-87
107,-48,-88
108,-48,-89
109,-48,-90
110,-47,-91
111,-47,-92
112,-47,-93
113,-46,-94
114,-46,-95
115,-46,-96
116,-45,-97
117,-45,-98
118,-45,-99
119,-44,-100
120,-43,-101
121,-42,-102
122,-41,-103
123,-41,-104
124,-40,-105
125,-39,-106
126,-39,-107
127,-38,-108
128,-37,-109
129,-36,-110
130,-35,-111
131,-34,-112
132,-33,-113
133,-32,-114
134,-31,-115
135,-30,-116
136,-29,-117
137,-28,-117
138,-27,-118
139,-26,-118
140,-25,-119
141,-24,-119
142,-23,-120
143,-22,-120
144,-21,-121
145,-20,-121
146,-19,-122
147,-18,-122
148,-17,-122
149,-16,-123
150,-15,-123
151,-14,-123
152,-13,-123
153,-12,-124
154,-11,-124
155,-10,-124
156,-9,-124
157,-8,-124
158,-7,-125
159,-6,-125
160,-5,-125
161,-4,-125
162,-3,-125
163,-2,-125
164,-1,-125
165,0,-125
166,1,-125
167,2,-125
168,3,-125
169,4,-125
170,5,-125
171,6,-125
172,7,-125
173,8,-125
174,9,-124
175,10,-124
176,11,-124
177,12,-124
178,13,-124
179,14,-123
180,15,-123
181,16,-123
182,17,-123
183,18,-122
184,19,-122
185,20,-122
186,21,-121
187,22,-121
188,23,-120
189,24,-120
190,25,-119
191,26,-119
192,27,-118
193,28,-118
194,29,-117
195,30,-117
196,31,-116
197,32,-115
198,33,-114
199,34,-113
200,35,-112
201,36,-111
202,37,-110
203,38,-109
204,39,-108
205,39,-107
206,40,-106
207,41,-105
208,41,-104
209,42,-103
210,43,-102
211,44,-101
212,45,-100
213,45,-99
214,45,-98
215,46,-97
216,46,-96
217,46,-95
218,47,-94
219,47,-93
220,47,-92
221,48,-91
222,48,-90
223,48,-89
224,48,-88
225,49,-87
226,49,-86
227,49,-85
228,49,-84
229,49,-83
230,50,-82
231,50,-81
232,50,-80
233,50,-79
234,50,-78
235,50,-77
236,50,-76
237,50,-75
238,50,-74
239,50,-73
240,50,-72
241,50,-71
242,50,-70
243,50,-69
244,50,-68
245,50,-67
246,50,-66
247,50,-65
248,50,-64
249,50,-63
250,50,-62
251,50,-61
252,50,-60
253,50,-59
254,49,-58
255,49,-57
256,49,-56
257,49,-55
258,49,-54
259,49,-53
260,49,-52
261,49,-51
262,48,-50
263,48,-49
264,48,-48
265,48,-47
266,48,-46
267,48,-45
268,47,-44
269,47,-43
270,47,-42
271,47,-41
272,46,-40
273,46,-39
274,46,-38
275,46,-37
276,45,-36
277,45,-35
278,45,-34
279,44,-33
280,44,-32
281,43,-31
282,43,-30
283,42,-29
284,42,-28
285,41,-27
286,41,-26
287,40,-25
288,40,-24
289,39,-23
290,39,-22
291,38,-21
292,37,-20
293,36,-19
294,36,-18
295,35,-17
296,34,-16
297,33,-15
298,32,-14
299,31,-13
300,30,-13
301,29,-12
302,28,-11
303,27,-10
304,26,-9
305,25,-9
306,24,-8
307,23,-8
308,22,-7
309,21,-7
310,20,-6
311,19,-5
312,18,-5
313,17,-5
314,16,-4
315,15,-4
316,14,-4
317,13,-3
318,12,-3
319,11,-3
320,10,-3
321,9,-2
322,8,-2
323,7,-2
324,6,-2
325,5,-1
326,4,-1
327,3,-1
328,2,-1
329,1,-1
330,0,0
331,0,0
332,-1,0
333,-2,0
334,-3,1
335,-4,1
336,-5,1
337,-6,1
338,-7,1
339,-8,2
340,-9,2
341,-10,2
342,-11,2
343,-12,2
344,-13,2
345,-14,3
346,-15,3
347,-16,3
348,-17,3
349,-18,3
350,-19,3
351,-20,4
352,-21,4
353,-22,4
354,-23,4
355,-24,4
356,-25,4
357,-26,5
358,-27,5
359,-28,5
360,-29,5
361,-30,5
362,-31,5
363,-32,5
364,-33,6
365,-34,6
366,-35,6
367,-36,6
368,-37,6
369,-38,6
370,-39,6
371,-40,7
372,-41,7
373,-42,7
374,-43,7
375,-44,7
376,-45,7
377,-46,7
378,-47,8
379,-48,8
380,-49,8
381,-50,8
382,-51,8
383,-52,8
384,-53,8
