table,state_hex,file_offset,first_8_8,second_8_8
dry_nonnegative,00,0429D,0,0
dry_nonnegative,01,042A1,0,0
dry_nonnegative,02,042A5,0,0
dry_nonnegative,03,042A9,0,0
dry_nonnegative,04,042AD,0,0
dry_nonnegative,05,042B1,-16,16
dry_nonnegative,06,042B5,-16,16
dry_nonnegative,07,042B9,-32,32
dry_nonnegative,08,042BD,-32,32
dry_nonnegative,09,042C1,-16,-4
dry_nonnegative,0A,042C5,-64,16
dry_nonnegative,0B,042C9,-64,16
dry_nonnegative,0C,042CD,0,0
dry_nonnegative,0D,042D1,0,0
dry_nonnegative,0E,042D5,-16,16
dry_nonnegative,0F,042D9,0,0
dry_nonnegative,10,042DD,-16,-4
dry_nonnegative,11,042E1,-16,16
dry_nonnegative,12,042E5,-16,16
dry_nonnegative,13,042E9,0,0
dry_nonnegative,14,042ED,0,0
dry_nonnegative,15,042F1,0,0
dry_nonnegative,16,042F5,-16,16
dry_nonnegative,17,042F9,0,0
dry_nonnegative,18,042FD,-64,16
dry_nonnegative,19,04301,0,0
dry_nonnegative,1A,04305,-16,16
dry_nonnegative,1B,04309,-16,16
dry_nonnegative,1C,0430D,-16,16
dry_nonnegative,1D,04311,0,0
dry_nonnegative,1E,04315,0,0
dry_nonnegative,1F,04319,0,0
dry_negative,00,0431D,0,0
dry_negative,01,04321,0,0
dry_negative,02,04325,0,0
dry_negative,03,04329,0,0
dry_negative,04,0432D,0,0
dry_negative,05,04331,-16,16
dry_negative,06,04335,-16,16
dry_negative,07,04339,-32,32
dry_negative,08,0433D,-32,32
dry_negative,09,04341,4,16
dry_negative,0A,04345,-16,64
dry_negative,0B,04349,-16,64
dry_negative,0C,0434D,0,0
dry_negative,0D,04351,0,0
dry_negative,0E,04355,-16,16
dry_negative,0F,04359,0,0
dry_negative,10,0435D,4,16
dry_negative,11,04361,-16,16
dry_negative,12,04365,-16,16
dry_negative,13,04369,0,0
dry_negative,14,0436D,0,0
dry_negative,15,04371,0,0
dry_negative,16,04375,-16,16
dry_negative,17,04379,0,0
dry_negative,18,0437D,-16,64
dry_negative,19,04381,0,0
dry_negative,1A,04385,-16,16
dry_negative,1B,04389,-16,16
dry_negative,1C,0438D,-16,16
dry_negative,1D,04391,0,0
dry_negative,1E,04395,0,0
dry_negative,1F,04399,0,0
no_direction,00,0439D,0,0
no_direction,01,043A1,20,-20
no_direction,02,043A5,20,-20
no_direction,03,043A9,0,0
no_direction,04,043AD,0,0
no_direction,05,043B1,20,-20
no_direction,06,043B5,20,-20
no_direction,07,043B9,20,-20
no_direction,08,043BD,20,-20
no_direction,09,043C1,5,-5
no_direction,0A,043C5,16,-16
no_direction,0B,043C9,16,-16
no_direction,0C,043CD,20,-20
no_direction,0D,043D1,20,-20
no_direction,0E,043D5,16,-16
no_direction,0F,043D9,0,0
no_direction,10,043DD,5,-5
no_direction,11,043E1,20,-20
no_direction,12,043E5,20,-20
no_direction,13,043E9,0,0
no_direction,14,043ED,0,0
no_direction,15,043F1,0,0
no_direction,16,043F5,20,-20
no_direction,17,043F9,0,0
no_direction,18,043FD,16,-16
no_direction,19,04401,0,0
no_direction,1A,04405,20,-20
no_direction,1B,04409,2,-2
no_direction,1C,0440D,0,0
no_direction,1D,04411,0,0
no_direction,1E,04415,0,0
no_direction,1F,04419,0,0
water_nonnegative,00,0441D,0,0
water_nonnegative,01,04421,0,0
water_nonnegative,02,04425,0,0
water_nonnegative,03,04429,0,0
water_nonnegative,04,0442D,0,0
water_nonnegative,05,04431,-2,2
water_nonnegative,06,04435,-2,2
water_nonnegative,07,04439,-4,4
water_nonnegative,08,0443D,-4,4
water_nonnegative,09,04441,-2,-4
water_nonnegative,0A,04445,-8,4
water_nonnegative,0B,04449,-8,4
water_nonnegative,0C,0444D,0,0
water_nonnegative,0D,04451,0,0
water_nonnegative,0E,04455,-4,4
water_nonnegative,0F,04459,0,0
water_nonnegative,10,0445D,-2,-4
water_nonnegative,11,04461,-2,2
water_nonnegative,12,04465,-2,2
water_nonnegative,13,04469,0,0
water_nonnegative,14,0446D,0,0
water_nonnegative,15,04471,0,0
water_nonnegative,16,04475,-2,2
water_nonnegative,17,04479,0,0
water_nonnegative,18,0447D,0,0
water_nonnegative,19,04481,0,0
water_nonnegative,1A,04485,-2,2
water_nonnegative,1B,04489,-4,4
water_nonnegative,1C,0448D,-4,4
water_nonnegative,1D,04491,0,0
water_nonnegative,1E,04495,0,0
water_nonnegative,1F,04499,0,0
water_negative,00,0449D,0,0
water_negative,01,044A1,0,0
water_negative,02,044A5,0,0
water_negative,03,044A9,0,0
water_negative,04,044AD,0,0
water_negative,05,044B1,-2,2
water_negative,06,044B5,-2,2
water_negative,07,044B9,-4,4
water_negative,08,044BD,-4,4
water_negative,09,044C1,4,2
water_negative,0A,044C5,-4,8
water_negative,0B,044C9,-4,8
water_negative,0C,044CD,0,0
water_negative,0D,044D1,0,0
water_negative,0E,044D5,-4,4
water_negative,0F,044D9,0,0
water_negative,10,044DD,4,2
water_negative,11,044E1,-2,2
water_negative,12,044E5,-2,2
water_negative,13,044E9,0,0
water_negative,14,044ED,0,0
water_negative,15,044F1,0,0
water_negative,16,044F5,-2,2
water_negative,17,044F9,0,0
water_negative,18,044FD,0,0
water_negative,19,04501,0,0
water_negative,1A,04505,-2,2
water_negative,1B,04509,-4,4
water_negative,1C,0450D,-4,4
water_negative,1D,04511,0,0
water_negative,1E,04515,0,0
water_negative,1F,04519,0,0
not_selected_by_4141,00,0451D,0,0
not_selected_by_4141,01,04521,40,-40
not_selected_by_4141,02,04525,40,-40
not_selected_by_4141,03,04529,0,0
not_selected_by_4141,04,0452D,0,0
