state_hex,script_cpu,script_file
00,807D,3007D
01,8081,30081
02,8098,30098
03,80BF,300BF
04,80C5,300C5
05,810E,3010E
06,8116,30116
07,811E,3011E
08,8128,30128
09,8132,30132
0A,8142,30142
0B,814A,3014A
0C,81AE,301AE
0D,81B6,301B6
0E,81E0,301E0
0F,831E,3031E
10,832C,3032C
11,8334,30334
12,8346,30346
13,81BE,301BE
14,81C6,301C6
15,8256,30256
16,834C,3034C
17,8356,30356
18,806E,3006E
19,808A,3008A
1A,82D9,302D9
1B,813A,3013A
1C,8194,30194
1D,8374,30374
1E,837C,3037C
1F,838A,3038A
20,839E,3039E
21,840F,3040F
22,8425,30425
23,806E,3006E
24,806E,3006E
25,8363,30363
26,806E,3006E
27,806E,3006E
28,8390,30390
29,8480,30480
2A,806E,3006E
2B,806E,3006E
2C,806E,3006E
2D,806E,3006E
2E,806E,3006E
2F,806E,3006E
30,843B,3043B
31,84D4,304D4
32,806E,3006E
33,86FB,306FB
34,880A,3080A
35,8913,30913
36,895A,3095A
37,5F20,2DF20
38,807C,3007C
39,6020,2E020
3A,807C,3007C
3B,6120,2E120
3C,807C,3007C
