id_hex,pointer_file,stored_address,file_offset,header_word,reported_class
81,090E1,5169,09169,49FD,music
82,090E3,563F,0963F,49FD,music
83,090E5,5793,09793,49FD,music
84,090E7,5CE8,09CE8,49FD,music
85,090E9,5EB2,09EB2,49FD,music
86,090EB,5F7A,09F7A,49FD,music
87,090ED,6005,0A005,49FD,music
88,090EF,60A5,0A0A5,49FD,music
89,090F1,6152,0A152,49FD,music
8A,090F3,61E1,0A1E1,49FD,music
8B,090F5,623D,0A23D,49FD,music
8C,090F7,6948,0A948,49FD,music
8D,090F9,6F69,0AF69,49FD,music
8E,090FB,7634,0B634,49FD,music
8F,090FD,76C4,0B6C4,49FD,music
90,090FF,78EB,0B8EB,49FD,music
91,09101,7EF6,0BEF6,49FD,music
92,09103,83DD,0C3DD,49FD,music
93,09105,88B6,0C8B6,49FD,music
94,09107,8FDD,0CFDD,49FD,music
95,09109,9206,0D206,49FD,music
96,0910B,97DC,0D7DC,49FD,music
97,0910D,9881,0D881,49FD,music
98,0910F,991C,0D91C,49FD,music
99,09111,9991,0D991,49FD,music
9A,09113,9BCA,0DBCA,49FD,music
9B,09115,9E54,0DE54,49FD,music
9C,09117,9E6E,0DE6E,49FD,music
9D,09119,9E88,0DE88,49FD,music
9E,0911B,9EA2,0DEA2,49FD,music
9F,0911D,9EBC,0DEBC,49FD,music
A0,0911F,9ED6,0DED6,49FD,sfx
A1,09121,9F05,0DF05,49FD,sfx
A2,09123,9F1B,0DF1B,49FD,sfx
A3,09125,9F42,0DF42,49FD,sfx
A4,09127,9F6D,0DF6D,49FD,sfx
A5,09129,9FAC,0DFAC,49FD,sfx
A6,0912B,9FC4,0DFC4,49FD,sfx
A7,0912D,9FF5,0DFF5,49FD,sfx
A8,0912F,A00B,0E00B,49FD,sfx
A9,09131,A04B,0E04B,49FD,sfx
AA,09133,A079,0E079,49FD,sfx
AB,09135,A08C,0E08C,49FD,sfx
AC,09137,A0A5,0E0A5,49FD,sfx
AD,09139,A0D4,0E0D4,49FD,sfx
AE,0913B,A0EC,0E0EC,49FD,sfx
AF,0913D,A10F,0E10F,49FD,sfx
B0,0913F,A132,0E132,49FD,sfx
B1,09141,A150,0E150,49FD,sfx
B2,09143,A16B,0E16B,49FD,sfx
B3,09145,A193,0E193,49FD,sfx
B4,09147,A1B9,0E1B9,49FD,sfx
B5,09149,A1E1,0E1E1,49FD,sfx
B6,0914B,A1FC,0E1FC,49FD,sfx
B7,0914D,A22E,0E22E,49FD,sfx
B8,0914F,A24C,0E24C,49FD,sfx
B9,09151,A267,0E267,49FD,sfx
BA,09153,A29B,0E29B,49FD,sfx
BB,09155,A2DD,0E2DD,49FD,sfx
BC,09157,A30D,0E30D,49FD,sfx
BD,09159,A330,0E330,49FD,sfx
BE,0915B,A358,0E358,49FD,sfx
BF,0915D,A376,0E376,49FD,sfx
C0,0915F,A391,0E391,49FD,sfx
C1,09161,A3B4,0E3B4,49FD,sfx
C2,09163,A3CC,0E3CC,49FD,sfx
C3,09165,A40C,0E40C,49FD,sfx
C4,09167,A434,0E434,49FD,sfx
