tile_hex,plane,header_file,flags_hex,modifier_offset,vertical_file,horizontal_file,vertical_min,vertical_max
00,0,38200,00,0,38970,39210,0,0
01,0,38207,81,0,38990,39230,32,32
02,0,3820E,81,0,389B0,39230,25,31
03,0,38215,82,0,38990,39230,32,32
04,0,3821C,82,0,38990,39230,32,32
05,0,38223,82,0,38990,39230,32,32
06,0,3822A,82,0,38990,39230,32,32
07,0,38231,82,0,38990,39230,32,32
08,0,38238,81,0,38990,39230,32,32
09,0,3823F,81,0,38990,39230,32,32
0A,0,38246,81,0,38990,39230,32,32
0B,0,3824D,81,0,38990,39230,32,32
0C,0,38254,00,0,38970,39210,0,0
0D,0,3825B,41,0,38990,39230,32,32
0E,0,38262,41,0,389B0,39230,25,31
0F,0,38269,41,0,38990,39210,32,32
10,0,38270,83,10,389D0,39290,3,34
11,0,38277,83,10,389F0,39350,35,66
12,0,3827E,83,14,38A10,392B0,17,32
13,0,38285,83,14,38A30,392D0,1,16
14,0,3828C,83,14,38A50,39350,33,48
15,0,38293,83,12,38A70,392F0,3,34
16,0,3829A,83,12,38A90,39350,35,66
17,0,382A1,83,16,38AB0,39310,17,32
18,0,382A8,83,16,38AD0,39330,1,16
19,0,382AF,83,16,38AF0,39350,33,48
1A,0,382B6,83,10,389D0,39290,3,34
1B,0,382BD,83,12,38A70,392F0,3,34
1C,0,382C4,83,10,389D0,39290,3,34
1D,0,382CB,83,12,38A70,392F0,3,34
1E,0,382D2,92,4,38B10,39370,0,32
1F,0,382D9,92,2,38B30,39390,0,32
20,0,382E0,92,12,38B50,393B0,10,32
21,0,382E7,83,16,38B70,393D0,1,9
22,0,382EE,83,14,38B90,393F0,1,9
23,0,382F5,92,10,38BB0,39410,10,32
24,0,382FC,00,0,38970,39210,0,0
25,0,38303,00,0,38970,39210,0,0
26,0,3830A,00,0,38970,39210,0,0
27,0,38311,00,0,38970,39210,0,0
28,0,38318,00,0,38970,39210,0,0
29,0,3831F,00,0,38970,39210,0,0
2A,0,38326,00,0,38970,39210,0,0
2B,0,3832D,00,0,38970,39210,0,0
2C,0,38334,00,0,38970,39210,0,0
2D,0,3833B,00,0,38970,39210,0,0
2E,0,38342,00,0,38970,39210,0,0
2F,0,38349,00,0,38970,39210,0,0
30,0,38350,49,0,38BF0,39450,16,16
31,0,38357,49,0,38BF0,39450,16,16
32,0,3835E,8A,0,38BD0,39430,0,24
33,0,38365,8A,0,38BD0,39430,0,24
34,0,3836C,8A,0,38C70,394B0,0,24
35,0,38373,8A,0,38C70,394B0,0,24
36,0,3837A,54,0,38C10,39470,0,16
37,0,38381,54,0,38C10,39470,0,16
38,0,38388,54,0,38C30,39490,0,16
39,0,3838F,54,0,38C30,39490,0,16
3A,0,38396,54,0,38C50,39450,80,80
3B,0,3839D,54,0,38C50,39450,80,80
3C,0,383A4,85,0,38C90,394D0,16,16
3D,0,383AB,85,0,38C90,394D0,16,16
3E,0,383B2,85,0,38CB0,394F0,88,88
3F,0,383B9,85,0,38CB0,394F0,88,88
40,0,383C0,07,10,38970,39210,0,0
41,0,383C7,07,14,38970,39210,0,0
42,0,383CE,07,14,38970,39210,0,0
43,0,383D5,07,18,38970,39210,0,0
44,0,383DC,07,18,38970,39210,0,0
45,0,383E3,07,18,38970,39210,0,0
46,0,383EA,00,18,38970,39210,0,0
47,0,383F1,96,0,38CD0,39510,23,24
48,0,383F8,B0,0,38CF0,39530,0,0
48,1,383FF,90,0,38D10,39550,74,96
49,0,38406,B0,0,38D30,39570,0,0
49,1,3840D,90,0,38D50,39590,65,73
4A,0,38414,B0,0,38D70,395B0,65,73
4A,1,3841B,90,0,38D90,395D0,0,0
4B,0,38422,B0,0,38DB0,395F0,74,96
4B,1,38429,90,0,38DD0,39610,0,0
4C,0,38430,B0,0,38DF0,39630,0,0
4C,1,38437,90,0,38E10,39650,64,96
4D,0,3843E,B0,0,38E30,39670,64,96
4D,1,38445,90,0,38E50,39690,0,0
4E,0,3844C,B0,4,38E70,396B0,0,0
4E,1,38453,90,4,38E90,396D0,0,32
4F,0,3845A,B0,2,38EB0,396F0,0,32
4F,1,38461,90,2,38ED0,39710,0,0
50,0,38468,B0,18,38EF0,39730,1,4
50,1,3846F,90,12,38F10,39750,21,32
51,0,38476,B0,18,38F30,39770,5,10
51,1,3847D,90,16,38F50,39790,10,20
52,0,38484,B0,14,38F70,397B0,10,20
52,1,3848B,90,20,38F90,397D0,5,10
53,0,38492,B0,10,38FB0,397F0,21,32
53,1,38499,90,20,38FD0,39810,1,4
54,0,384A0,B0,0,38FF0,39830,0,0
54,1,384A7,90,4,39010,39850,0,32
55,0,384AE,B0,2,39030,39870,0,32
55,1,384B5,90,0,39050,39890,0,0
56,0,384BC,90,0,38EF0,39730,1,4
57,0,384C3,90,0,38F30,39770,5,10
58,0,384CA,17,0,39090,398B0,0,0
59,0,384D1,57,0,39070,398B0,32,32
5A,0,384D8,17,0,39090,398B0,0,0
5B,0,384DF,17,0,39090,398B0,0,0
5C,0,384E6,17,0,39090,398B0,0,0
5D,0,384ED,17,0,39090,398B0,0,0
5E,0,384F4,17,0,39090,398B0,0,0
5F,0,384FB,17,0,39090,398B0,0,0
60,0,38502,17,0,39090,398B0,0,0
61,0,38509,17,0,39090,398B0,0,0
62,0,38510,17,0,39090,398B0,0,0
63,0,38517,17,0,39090,398B0,0,0
64,0,3851E,17,0,39090,398B0,0,0
65,0,38525,17,0,39090,398B0,0,0
66,0,3852C,17,0,39090,398B0,0,0
67,0,38533,17,0,39090,398B0,0,0
68,0,3853A,17,0,39090,398B0,0,0
69,0,38541,17,0,39090,398B0,0,0
6A,0,38548,17,0,39090,398B0,0,0
6B,0,3854F,17,0,39090,398B0,0,0
6C,0,38556,17,0,39090,39210,0,0
6D,0,3855D,17,0,38970,39210,0,0
6E,0,38564,17,0,38970,39210,0,0
6F,0,3856B,17,0,38970,39210,0,0
70,0,38572,17,0,38970,39210,0,0
71,0,38579,17,0,38970,39210,0,0
72,0,38580,17,0,38970,39210,0,0
73,0,38587,57,0,39070,39210,32,32
74,0,3858E,13,0,38970,39210,0,0
75,0,38595,13,0,38970,39210,0,0
76,0,3859C,13,0,38970,39210,0,0
77,0,385A3,13,0,38970,39210,0,0
78,0,385AA,13,0,38970,39210,0,0
79,0,385B1,13,0,38970,39210,0,0
7A,0,385B8,13,0,38970,39210,0,0
7B,0,385BF,13,0,38970,39210,0,0
7C,0,385C6,13,0,38970,39210,0,0
7D,0,385CD,13,0,38970,39210,0,0
7E,0,385D4,13,0,38970,39210,0,0
7F,0,385DB,13,0,38970,39210,0,0
80,0,385E2,13,0,38970,39210,0,0
81,0,385E9,13,0,38970,39210,0,0
82,0,385F0,13,0,38970,39210,0,0
83,0,385F7,90,0,38990,39230,32,32
84,0,385FE,00,0,38970,39210,0,0
85,0,38605,59,0,38990,39210,32,32
86,0,3860C,00,0,38970,39210,0,0
87,0,38613,59,0,38990,39210,32,32
88,0,3861A,00,0,38970,39210,0,0
89,0,38621,00,0,38970,39210,0,0
8A,0,38628,98,0,390B0,39230,24,32
8B,0,3862F,98,0,390B0,39230,24,32
8C,0,38636,9C,0,390D0,398D0,16,16
8D,0,3863D,9C,0,390D0,398D0,16,16
8E,0,38644,9C,0,390D0,398D0,16,16
8F,0,3864B,9C,0,390D0,398D0,16,16
90,0,38652,9C,0,390F0,398D0,1,8
91,0,38659,9C,0,39110,398D0,8,8
92,0,38660,9C,0,39110,398D0,8,8
93,0,38667,9C,0,39130,398D0,1,8
94,0,3866E,9C,0,39150,39250,84,84
95,0,38675,9C,0,39150,39250,84,84
96,0,3867C,9C,0,39150,39250,84,84
97,0,38683,9C,0,39150,39270,84,84
98,0,3868A,00,0,38970,39210,0,0
99,0,38691,00,0,38970,39210,0,0
9A,0,38698,00,0,38970,39210,0,0
9B,0,3869F,8D,0,38990,39230,32,32
9C,0,386A6,8D,0,38990,39230,32,32
9D,0,386AD,00,0,38970,39210,0,0
9E,0,386B4,00,0,38970,39210,0,0
9F,0,386BB,00,0,38970,39210,0,0
A0,0,386C2,5B,0,38990,39210,32,32
A1,0,386C9,A4,0,39170,398F0,0,0
A1,1,386D0,A4,0,39190,39910,32,32
A2,0,386D7,A4,0,39190,39930,32,32
A2,1,386DE,A4,0,39170,398F0,0,0
A3,0,386E5,84,0,38990,39230,32,32
A4,0,386EC,8E,0,38990,39230,32,32
A5,0,386F3,8E,0,38990,39230,32,32
A6,0,386FA,8E,0,38990,39230,32,32
A7,0,38701,9A,0,391B0,39210,0,2
A8,0,38708,85,0,38C90,394D0,16,16
A9,0,3870F,00,0,38970,39210,0,0
AA,0,38716,00,0,38970,39210,0,0
AB,0,3871D,00,0,38970,39210,0,0
AC,0,38724,00,0,38970,39210,0,0
AD,0,3872B,00,0,38970,39210,0,0
AE,0,38732,00,0,38970,39210,0,0
AF,0,38739,4C,0,38990,39230,32,32
B0,0,38740,00,0,38970,39210,0,0
B1,0,38747,8B,0,391D0,39210,3,11
B2,0,3874E,81,0,391F0,39210,7,7
B3,0,38755,1E,0,38970,39210,0,0
B4,0,3875C,9E,0,38970,39950,0,0
B5,0,38763,1E,0,38970,39210,0,0
B6,0,3876A,1E,0,38970,39210,0,0
B7,0,38771,9E,0,38970,39970,0,0
B8,0,38778,1D,0,38970,39210,0,0
B9,0,3877F,4C,0,38990,39230,32,32
BA,0,38786,4C,0,38990,39230,32,32
BB,0,3878D,4C,0,38990,39230,32,32
BC,0,38794,00,0,38970,39210,0,0
BD,0,3879B,00,0,38970,39210,0,0
BE,0,387A2,00,0,38970,39210,0,0
BF,0,387A9,00,0,38970,39210,0,0
C0,0,387B0,00,0,38970,39210,0,0
C1,0,387B7,00,0,38970,39210,0,0
C2,0,387BE,00,0,38970,39210,0,0
C3,0,387C5,00,0,38970,39210,0,0
C4,0,387CC,00,0,38970,39210,0,0
C5,0,387D3,00,0,38970,39210,0,0
C6,0,387DA,00,0,38970,39210,0,0
C7,0,387E1,00,0,38970,39210,0,0
C8,0,387E8,00,0,38970,39210,0,0
C9,0,387EF,00,0,38970,39210,0,0
CA,0,387F6,00,0,38970,39210,0,0
CB,0,387FD,00,0,38970,39210,0,0
CC,0,38804,00,0,38970,39210,0,0
CD,0,3880B,00,0,38970,39210,0,0
CE,0,38812,00,0,38970,39210,0,0
CF,0,38819,00,0,38970,39210,0,0
D0,0,38820,00,0,38970,39210,0,0
D1,0,38827,00,0,38970,39210,0,0
D2,0,3882E,00,0,38970,39210,0,0
D3,0,38835,00,0,38970,39210,0,0
D4,0,3883C,00,0,38970,39210,0,0
D5,0,38843,00,0,38970,39210,0,0
D6,0,3884A,00,0,38970,39210,0,0
D7,0,38851,00,0,38970,39210,0,0
D8,0,38858,00,0,38970,39210,0,0
D9,0,3885F,00,0,38970,39210,0,0
DA,0,38866,00,0,38970,39210,0,0
DB,0,3886D,00,0,38970,39210,0,0
DC,0,38874,00,0,38970,39210,0,0
DD,0,3887B,00,0,38970,39210,0,0
