variant,tile_hex,table_cpu,pointer_file,handler_cpu,handler_file
0,58,94FD,314FD,95F4,315F4
0,59,94FD,314FF,95F4,315F4
0,5A,94FD,31501,95F1,315F1
0,5B,94FD,31503,95FC,315FC
0,5C,94FD,31505,95FC,315FC
0,5D,94FD,31507,95F1,315F1
0,5E,94FD,31509,9604,31604
0,5F,94FD,3150B,9604,31604
0,60,94FD,3150D,95F1,315F1
0,61,94FD,3150F,960C,3160C
0,62,94FD,31511,95F1,315F1
0,63,94FD,31513,960C,3160C
0,64,94FD,31515,95F1,315F1
0,65,94FD,31517,9611,31611
0,66,94FD,31519,9611,31611
0,67,94FD,3151B,95F1,315F1
0,68,94FD,3151D,9619,31619
0,69,94FD,3151F,9621,31621
0,6A,94FD,31521,9629,31629
0,6B,94FD,31523,9629,31629
0,6C,94FD,31525,9629,31629
0,6D,94FD,31527,9629,31629
0,6E,94FD,31529,95F1,315F1
0,6F,94FD,3152B,95F1,315F1
0,70,94FD,3152D,95F1,315F1
0,71,94FD,3152F,95F1,315F1
0,72,94FD,31531,95F1,315F1
0,73,94FD,31533,9629,31629
1,58,9535,31535,9634,31634
1,59,9535,31537,963C,3163C
1,5A,9535,31539,9631,31631
1,5B,9535,3153B,9644,31644
1,5C,9535,3153D,964C,3164C
1,5D,9535,3153F,9631,31631
1,5E,9535,31541,9654,31654
1,5F,9535,31543,9654,31654
1,60,9535,31545,9631,31631
1,61,9535,31547,965D,3165D
1,62,9535,31549,9631,31631
1,63,9535,3154B,965D,3165D
1,64,9535,3154D,9631,31631
1,65,9535,3154F,9662,31662
1,66,9535,31551,9662,31662
1,67,9535,31553,9631,31631
1,68,9535,31555,966A,3166A
1,69,9535,31557,966A,3166A
1,6A,9535,31559,9672,31672
1,6B,9535,3155B,967A,3167A
1,6C,9535,3155D,9672,31672
1,6D,9535,3155F,967A,3167A
1,6E,9535,31561,9631,31631
1,6F,9535,31563,9631,31631
1,70,9535,31565,9631,31631
1,71,9535,31567,9631,31631
1,72,9535,31569,9631,31631
1,73,9535,3156B,967A,3167A
2,58,956D,3156D,9682,31682
2,59,956D,3156F,968A,3168A
2,5A,956D,31571,95F1,315F1
2,5B,956D,31573,9682,31682
2,5C,956D,31575,9682,31682
2,5D,956D,31577,95F1,315F1
2,5E,956D,31579,9695,31695
2,5F,956D,3157B,95F1,315F1
2,60,956D,3157D,969D,3169D
2,61,956D,3157F,95F1,315F1
2,62,956D,31581,95F1,315F1
2,63,956D,31583,96A0,316A0
2,64,956D,31585,95F1,315F1
2,65,956D,31587,95F1,315F1
2,66,956D,31589,96A8,316A8
2,67,956D,3158B,96A8,316A8
2,68,956D,3158D,96B3,316B3
2,69,956D,3158F,96B3,316B3
2,6A,956D,31591,96B0,316B0
2,6B,956D,31593,96BB,316BB
2,6C,956D,31595,95F1,315F1
2,6D,956D,31597,96C6,316C6
2,6E,956D,31599,95F1,315F1
2,6F,956D,3159B,96CE,316CE
2,70,956D,3159D,96D6,316D6
2,71,956D,3159F,95F1,315F1
2,72,956D,315A1,968A,3168A
2,73,956D,315A3,968A,3168A
3,58,95A5,315A5,973A,3173A
3,59,95A5,315A7,9742,31742
3,5A,95A5,315A9,973A,3173A
3,5B,95A5,315AB,9732,31732
3,5C,95A5,315AD,972A,3172A
3,5D,95A5,315AF,95F1,315F1
3,5E,95A5,315B1,9717,31717
3,5F,95A5,315B3,972A,3172A
3,60,95A5,315B5,971F,3171F
3,61,95A5,315B7,96FC,316FC
3,62,95A5,315B9,95F1,315F1
3,63,95A5,315BB,970F,3170F
3,64,95A5,315BD,96FC,316FC
3,65,95A5,315BF,9707,31707
3,66,95A5,315C1,9707,31707
3,67,95A5,315C3,9707,31707
3,68,95A5,315C5,96F9,316F9
3,69,95A5,315C7,96FC,316FC
3,6A,95A5,315C9,96FC,316FC
3,6B,95A5,315CB,96FC,316FC
3,6C,95A5,315CD,96FC,316FC
3,6D,95A5,315CF,96F1,316F1
3,6E,95A5,315D1,95F1,315F1
3,6F,95A5,315D3,96E9,316E9
3,70,95A5,315D5,96E9,316E9
3,71,95A5,315D7,95F1,315F1
3,72,95A5,315D9,96E9,316E9
3,73,95A5,315DB,96DE,316DE
