frame,x,y,vx_8_8,vy_8_8,state,requested_state,contact_flags,previous_surface,modifier
0,324,654,1024,1792,5,5,2,129,0
1,328,654,1024,1792,5,5,2,129,0
2,332,654,1024,1792,5,5,2,129,0
3,336,654,1024,1792,5,5,2,129,0
4,340,654,1024,1792,5,5,2,129,0
5,344,654,1024,1792,5,5,2,129,0
6,348,654,1024,1792,5,5,2,129,0
7,352,653,1024,1792,5,5,2,130,14
8,355,653,1016,1792,5,5,2,130,14
9,359,653,1008,1792,5,5,2,130,14
10,363,652,1000,1792,5,5,2,130,14
11,367,651,992,1792,5,5,2,130,14
12,371,650,984,1792,5,5,2,130,14
13,375,648,976,1792,5,5,2,130,14
14,379,647,968,1792,5,5,2,130,14
15,382,645,960,1792,5,5,2,130,14
16,386,643,952,-1428,5,27,0,146,10
17,390,637,937,-1392,27,27,0,146,0
18,393,632,953,-1356,27,27,0,146,0
19,397,627,969,-1320,27,27,0,146,0
20,401,622,985,-1284,27,27,0,146,0
21,404,617,1001,-1248,27,27,4,146,0
22,404,612,0,-1212,27,27,0,146,0
23,404,607,32,-1176,27,27,0,146,0
24,404,603,64,-1140,27,27,0,146,0
25,405,599,96,-1104,27,27,0,146,0
26,405,594,128,-1068,27,27,0,146,0
27,406,590,144,-1032,27,27,0,146,0
28,406,587,160,-996,27,27,0,0,0
29,407,583,176,-960,27,27,0,0,0
30,408,579,192,-924,27,27,0,0,0
31,409,576,208,-888,27,27,0,0,0
32,410,572,224,-852,27,27,0,0,0
33,411,569,240,-816,27,27,0,0,0
34,412,566,256,-780,27,27,0,0,0
35,413,563,272,-744,27,27,0,0,0
36,414,560,288,-708,27,27,0,0,0
37,415,558,304,-672,27,27,0,0,0
38,416,555,320,-636,27,27,0,0,0
39,417,553,336,-600,27,27,0,0,0
40,419,551,352,-564,27,27,0,0,0
41,420,549,368,-528,27,27,0,0,0
42,422,547,384,-492,27,27,0,0,0
43,423,545,400,-456,27,27,0,0,0
44,425,543,416,-420,27,27,0,0,0
45,427,542,432,-384,27,27,0,0,0
46,428,541,448,-348,27,27,0,0,0
47,430,539,464,-312,27,27,0,0,0
