tick,y,vy,state,requested_state
1,792.59375,-7.40625,11,11
2,785.28125,-7.3125,11,11
3,778.0625,-7.21875,11,11
4,770.9375,-7.125,11,11
5,763.90625,-7.03125,11,11
6,756.96875,-6.9375,11,11
7,750.125,-6.84375,11,11
8,743.375,-6.75,11,11
9,736.71875,-6.65625,11,11
10,730.15625,-6.5625,11,11
11,723.6875,-6.46875,11,11
12,717.3125,-6.375,11,11
13,711.03125,-6.28125,11,11
14,704.84375,-6.1875,11,11
15,698.75,-6.09375,11,11
16,692.75,-6.0,11,11
17,686.84375,-5.90625,11,11
18,681.03125,-5.8125,11,11
19,675.3125,-5.71875,11,11
20,669.6875,-5.625,11,11
21,664.15625,-5.53125,11,11
22,658.71875,-5.4375,11,11
23,653.375,-5.34375,11,11
24,648.125,-5.25,11,11
25,642.96875,-5.15625,11,11
26,637.90625,-5.0625,11,11
27,632.9375,-4.96875,11,11
28,628.0625,-4.875,11,11
29,623.28125,-4.78125,11,11
30,618.59375,-4.6875,11,11
31,614.0,-4.59375,11,11
32,609.5,-4.5,11,11
33,605.09375,-4.40625,11,11
34,600.78125,-4.3125,11,11
35,596.5625,-4.21875,11,11
36,592.4375,-4.125,11,11
37,588.40625,-4.03125,11,11
38,584.46875,-3.9375,11,11
39,580.625,-3.84375,11,11
40,576.875,-3.75,11,11
41,573.21875,-3.65625,11,11
42,569.65625,-3.5625,11,11
43,566.1875,-3.46875,11,11
44,562.8125,-3.375,11,11
45,559.53125,-3.28125,11,11
46,556.34375,-3.1875,11,11
47,553.25,-3.09375,11,11
48,550.25,-3.0,11,11
49,547.34375,-2.90625,11,11
50,544.53125,-2.8125,11,11
51,541.8125,-2.71875,11,11
52,539.1875,-2.625,11,11
53,536.65625,-2.53125,11,11
54,534.21875,-2.4375,11,11
55,531.875,-2.34375,11,11
56,529.625,-2.25,11,11
57,527.46875,-2.15625,11,11
58,525.40625,-2.0625,11,11
59,523.4375,-1.96875,11,11
60,521.5625,-1.875,11,11
61,519.78125,-1.78125,11,11
62,518.09375,-1.6875,11,11
63,516.5,-1.59375,11,11
64,515.0,-1.5,11,11
65,513.59375,-1.40625,11,11
66,512.28125,-1.3125,11,11
67,511.0625,-1.21875,11,11
68,509.9375,-1.125,11,11
69,508.90625,-1.03125,11,11
70,507.96875,-0.9375,11,11
71,507.125,-0.84375,11,11
72,506.375,-0.75,11,11
73,505.71875,-0.65625,11,11
74,505.15625,-0.5625,11,11
75,504.6875,-0.46875,11,11
76,504.3125,-0.375,11,11
77,504.03125,-0.28125,11,11
78,503.84375,-0.1875,11,11
79,503.75,-0.09375,11,11
80,503.75,1.0,11,14
81,504.9375,1.1875,14,14
82,506.3125,1.375,14,14
83,507.875,1.5625,14,14
84,509.625,1.75,14,14
85,511.5625,1.9375,14,14
86,513.6875,2.125,14,14
87,516.0,2.3125,14,14
88,518.5,2.5,14,14
89,521.1875,2.6875,14,14
90,524.0625,2.875,14,14
91,527.125,3.0625,14,14
92,530.375,3.25,14,14
93,533.8125,3.4375,14,14
94,537.4375,3.625,14,14
95,541.25,3.8125,14,14
96,545.25,4.0,14,14
97,549.4375,4.1875,14,14
98,553.8125,4.375,14,14
99,558.375,4.5625,14,14
100,563.125,4.75,14,14
101,568.0625,4.9375,14,14
102,573.1875,5.125,14,14
103,578.5,5.3125,14,14
104,584.0,5.5,14,14
105,589.6875,5.6875,14,14
106,595.5625,5.875,14,14
107,601.625,6.0625,14,14
108,607.875,6.25,14,14
109,614.3125,6.4375,14,14
110,620.9375,6.625,14,14
111,627.75,6.8125,14,14
112,634.75,7.0,14,14
113,641.75,7.0,14,14
114,648.75,7.0,14,14
115,655.75,7.0,14,14
116,662.75,7.0,14,14
117,669.75,7.0,14,14
118,676.75,7.0,14,14
119,683.75,7.0,14,14
120,690.75,7.0,14,14
121,697.75,7.0,14,14
122,704.75,7.0,14,14
123,711.75,7.0,14,14
124,718.75,7.0,14,14
125,725.75,7.0,14,14
126,732.75,7.0,14,14
127,739.75,7.0,14,14
128,746.75,7.0,14,14
129,753.75,7.0,14,14
130,760.75,7.0,14,14
131,767.75,7.0,14,14
132,774.75,7.0,14,14
133,781.75,7.0,14,14
134,788.75,7.0,14,14
135,795.75,7.0,14,14
136,802.75,7.0,14,14
137,809.75,7.0,14,14
138,816.75,7.0,14,14
139,823.75,7.0,14,14
140,830.75,7.0,14,14
141,837.75,7.0,14,14
142,844.75,7.0,14,14
143,851.75,7.0,14,14
144,858.75,7.0,14,14
145,865.75,7.0,14,14
146,872.75,7.0,14,14
147,879.75,7.0,14,14
148,886.75,7.0,14,14
149,893.75,7.0,14,14
150,900.75,7.0,14,14
151,907.75,7.0,14,14
152,914.75,7.0,14,14
153,921.75,7.0,14,14
154,928.75,7.0,14,14
155,935.75,7.0,14,14
156,942.75,7.0,14,14
157,949.75,7.0,14,14
158,956.75,7.0,14,14
159,963.75,7.0,14,14
160,970.75,7.0,14,14
